mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_rfc__class_weight;param_rfc__criterion;param_rfc__max_depth;param_rfc__max_features;param_rfc__min_samples_leaf;param_rfc__n_estimators;param_rfc__n_jobs;param_rfc__random_state;param_rfc__verbose;param_rfc__warm_start;params;split0_test_Precision;split1_test_Precision;split2_test_Precision;split3_test_Precision;split4_test_Precision;mean_test_Precision;std_test_Precision;rank_test_Precision;split0_train_Precision;split1_train_Precision;split2_train_Precision;split3_train_Precision;split4_train_Precision;mean_train_Precision;std_train_Precision;split0_test_Recall;split1_test_Recall;split2_test_Recall;split3_test_Recall;split4_test_Recall;mean_test_Recall;std_test_Recall;rank_test_Recall;split0_train_Recall;split1_train_Recall;split2_train_Recall;split3_train_Recall;split4_train_Recall;mean_train_Recall;std_train_Recall;split0_test_F1_score;split1_test_F1_score;split2_test_F1_score;split3_test_F1_score;split4_test_F1_score;mean_test_F1_score;std_test_F1_score;rank_test_F1_score;split0_train_F1_score;split1_train_F1_score;split2_train_F1_score;split3_train_F1_score;split4_train_F1_score;mean_train_F1_score;std_train_F1_score;split0_test_Accuracy;split1_test_Accuracy;split2_test_Accuracy;split3_test_Accuracy;split4_test_Accuracy;mean_test_Accuracy;std_test_Accuracy;rank_test_Accuracy;split0_train_Accuracy;split1_train_Accuracy;split2_train_Accuracy;split3_train_Accuracy;split4_train_Accuracy;mean_train_Accuracy;std_train_Accuracy
0.3906209945678711;0.07778871442527444;0.5101447105407715;0.048212046179348766;{0: 1, 1: 2};gini;10;1;10;100;-1;42;1;False;{'rfc__class_weight': {0: 1, 1: 2}, 'rfc__criterion': 'gini', 'rfc__max_depth': 10, 'rfc__max_features': 1, 'rfc__min_samples_leaf': 10, 'rfc__n_estimators': 100, 'rfc__n_jobs': -1, 'rfc__random_state': 42, 'rfc__verbose': 1, 'rfc__warm_start': False};0.6617647058823529;0.7611940298507462;0.7083333333333334;0.7;0.684931506849315;0.7032404721793094;0.03302053445073127;50;0.761744966442953;0.7710437710437711;0.7731958762886598;0.7566666666666667;0.7569444444444444;0.7639191449772991;0.006968356791649529;0.5769230769230769;0.6538461538461539;0.6538461538461539;0.6282051282051282;0.6493506493506493;0.6324209673110771;0.029342932938411295;350;0.729903536977492;0.7363344051446945;0.7234726688102894;0.729903536977492;0.6987179487179487;0.7236664193255834;0.013120555345280853;0.6164383561643835;0.7034482758620689;0.68;0.6621621621621621;0.6666666666666666;0.6657338928467884;0.028536987532356593;210;0.7454844006568144;0.7532894736842105;0.7475083056478404;0.7430441898527005;0.7266666666666666;0.7431986073016466;0.008932556648076927;0.9487648673376029;0.9606227106227107;0.9560439560439561;0.9542124542124543;0.9541704857928506;0.9547619047619048;0.0038115992752849426;120;0.9645065262193726;0.9656593406593407;0.9652014652014652;0.9640567765567766;0.9624628061341268;0.9643773829542164;0.0011052237739930318
0.35067152976989746;0.05388697462501747;0.4666893005371094;0.06040347229109113;{0: 1, 1: 2};gini;10;1;20;100;-1;42;1;False;{'rfc__class_weight': {0: 1, 1: 2}, 'rfc__criterion': 'gini', 'rfc__max_depth': 10, 'rfc__max_features': 1, 'rfc__min_samples_leaf': 20, 'rfc__n_estimators': 100, 'rfc__n_jobs': -1, 'rfc__random_state': 42, 'rfc__verbose': 1, 'rfc__warm_start': False};0.6164383561643836;0.7083333333333334;0.6712328767123288;0.6571428571428571;0.6619718309859155;0.6630155114035106;0.029421843808347455;252;0.722972972972973;0.7080536912751678;0.7222222222222222;0.7016949152542373;0.7052631578947368;0.7120413919238674;0.008854880713929092;0.5769230769230769;0.6538461538461539;0.6282051282051282;0.5897435897435898;0.6103896103896104;0.611815382419778;0.027360527753459835;430;0.6881028938906752;0.6784565916398714;0.6688102893890675;0.6655948553054662;0.6442307692307693;0.6690390798911698;0.014693439608602416;0.5960264900662252;0.68;0.6490066225165563;0.6216216216216216;0.6351351351351351;0.6363508111124005;0.02796922135500779;361;0.7051070840197694;0.6929392446633825;0.69449081803005;0.6831683168316832;0.6733668341708543;0.6898144595431479;0.010772117409841903;0.9441903019213175;0.9560439560439561;0.9514652014652014;0.9487179487179487;0.9505041246562786;0.9501831501831501;0.0038520011736145384;278;0.9590107625372108;0.9571886446886447;0.9581043956043956;0.9560439560439561;0.955367360952163;0.957143023965274;0.0013248164766343645
0.38400983810424805;0.09407312385271678;0.46137080192565916;0.0251438051194939;{0: 1, 1: 2};gini;10;1;30;100;-1;42;1;False;{'rfc__class_weight': {0: 1, 1: 2}, 'rfc__criterion': 'gini', 'rfc__max_depth': 10, 'rfc__max_features': 1, 'rfc__min_samples_leaf': 30, 'rfc__n_estimators': 100, 'rfc__n_jobs': -1, 'rfc__random_state': 42, 'rfc__verbose': 1, 'rfc__warm_start': False};0.6164383561643836;0.6619718309859155;0.6986301369863014;0.6666666666666666;0.6617647058823529;0.6610860378078717;0.02621903334560197;262;0.6989966555183946;0.6843853820598007;0.7025089605734767;0.6862068965517242;0.6912280701754386;0.692665192975767;0.007061407252022759;0.5769230769230769;0.6025641025641025;0.6538461538461539;0.5897435897435898;0.5844155844155844;0.601497129244382;0.027479641668591702;520;0.6720257234726688;0.662379421221865;0.6302250803858521;0.639871382636656;0.6314102564102564;0.6471823728254597;0.016958197734315693;0.5960264900662252;0.6308724832214764;0.6754966887417219;0.6258503401360545;0.6206896551724138;0.629782614404372;0.025805242821958025;410;0.6852459016393442;0.673202614379085;0.664406779661017;0.6622296173044925;0.6599664991624792;0.6690102824292835;0.009275027238346443;0.9441903019213175;0.9496336996336996;0.9551282051282052;0.9496336996336996;0.9495875343721356;0.9496336996336996;0.0034597523840169484;280;0.9560338905427067;0.9542124542124543;0.9546703296703297;0.9535256410256411;0.9535362783245594;0.9543957187551382;0.0009260968590825839
0.32685093879699706;0.05917564654529728;0.4530303478240967;0.03955806372529711;{0: 1, 1: 2};gini;10;1;40;100;-1;42;1;False;{'rfc__class_weight': {0: 1, 1: 2}, 'rfc__criterion': 'gini', 'rfc__max_depth': 10, 'rfc__max_features': 1, 'rfc__min_samples_leaf': 40, 'rfc__n_estimators': 100, 'rfc__n_jobs': -1, 'rfc__random_state': 42, 'rfc__verbose': 1, 'rfc__warm_start': False};0.5866666666666667;0.6923076923076923;0.6764705882352942;0.6716417910447762;0.6617647058823529;0.6577565346077199;0.036908662101728364;299;0.6996587030716723;0.6819787985865724;0.6953405017921147;0.6819787985865724;0.6877192982456141;0.6893352200565092;0.007120151505045093;0.5641025641025641;0.5769230769230769;0.5897435897435898;0.5769230769230769;0.5844155844155844;0.5784178580881878;0.008646340527760112;861;0.6591639871382636;0.6205787781350482;0.6237942122186495;0.6205787781350482;0.6282051282051282;0.6304641767664276;0.014619938816922773;0.5751633986928104;0.6293706293706293;0.6301369863013699;0.6206896551724138;0.6206896551724138;0.6152017267997151;0.02043801673559408;460;0.6788079470198676;0.6498316498316498;0.6576271186440678;0.6498316498316498;0.6566164154103853;0.658542956147524;0.010648886214611753;0.9405306495882891;0.9514652014652014;0.9505494505494505;0.9496336996336996;0.9495875343721356;0.9483516483516483;0.0039728643277699436;353;0.9555759102358599;0.9523809523809523;0.9537545787545788;0.9523809523809523;0.9530785076676584;0.9534341802840004;0.0011861486760245965
0.30705990791320803;0.023606781147194784;0.47852120399475095;0.04589069375101588;{0: 1, 1: 2};gini;10;1;50;100;-1;42;1;False;{'rfc__class_weight': {0: 1, 1: 2}, 'rfc__criterion': 'gini', 'rfc__max_depth': 10, 'rfc__max_features': 1, 'rfc__min_samples_leaf': 50, 'rfc__n_estimators': 100, 'rfc__n_jobs': -1, 'rfc__random_state': 42, 'rfc__verbose': 1, 'rfc__warm_start': False};0.5970149253731343;0.7258064516129032;0.6984126984126984;0.6507936507936508;0.671875;0.6687668346020987;0.0438591687181302;204;0.7084870848708487;0.6909090909090909;0.708502024291498;0.6888888888888889;0.7061068702290076;0.7005787918378668;0.0087867549062993;0.5128205128205128;0.5769230769230769;0.5641025641025641;0.5256410256410257;0.5584415584415584;0.5475773920828866;0.024259116416615652;941;0.617363344051447;0.6109324758842444;0.5627009646302251;0.5980707395498392;0.592948717948718;0.5964032484128948;0.018978842428761494;0.5517241379310345;0.6428571428571428;0.624113475177305;0.5815602836879433;0.6099290780141843;0.6020261632880854;0.032152387804595194;741;0.6597938144329897;0.6484641638225256;0.6272401433691757;0.6402753872633391;0.6445993031358884;0.6440745624047837;0.010625161022681892;0.9405306495882891;0.9542124542124543;0.9514652014652014;0.9459706959706959;0.9495875343721356;0.9483516483516483;0.004742620465993064;353;0.9546599496221663;0.9528388278388278;0.9523809523809523;0.9521520146520146;0.953307392996109;0.953067827498014;0.0008894038368858159
0.40591907501220703;0.08974204276014199;0.44092707633972167;0.005556228556883256;{0: 1, 1: 2};gini;10;1;60;100;-1;42;1;False;{'rfc__class_weight': {0: 1, 1: 2}, 'rfc__criterion': 'gini', 'rfc__max_depth': 10, 'rfc__max_features': 1, 'rfc__min_samples_leaf': 60, 'rfc__n_estimators': 100, 'rfc__n_jobs': -1, 'rfc__random_state': 42, 'rfc__verbose': 1, 'rfc__warm_start': False};0.6119402985074627;0.7288135593220338;0.6896551724137931;0.65;0.6666666666666666;0.6694051162376399;0.03906074227163013;203;0.7131782945736435;0.6996197718631179;0.6850393700787402;0.6846153846153846;0.6911196911196911;0.6947145024501153;0.010709774260363769;0.5256410256410257;0.5512820512820513;0.5128205128205128;0.5;0.5454545454545454;0.5270359981898444;0.019296508827940918;960;0.5916398713826366;0.5916398713826366;0.5594855305466238;0.572347266881029;0.5737179487179487;0.577766097782175;0.012368456374735314;0.5655172413793103;0.6277372262773723;0.5882352941176471;0.5652173913043479;0.6;0.5893351150921786;0.023405309520339708;950;0.6467486818980668;0.6411149825783972;0.6159292035398231;0.6234676007005254;0.626970227670753;0.6308461392775131;0.011404564863724742;0.9423604757548033;0.9532967032967034;0.9487179487179487;0.945054945054945;0.9486709440879927;0.9476190476190476;0.003709483883754192;413;0.953972979161896;0.9528388278388278;0.9503205128205128;0.9507783882783882;0.9512474250400549;0.951831626627936;0.0013663024854800676
0.28626246452331544;0.05785126164529672;0.4455093860626221;0.022243812426278337;{0: 1, 1: 2};gini;10;1;70;100;-1;42;1;False;{'rfc__class_weight': {0: 1, 1: 2}, 'rfc__criterion': 'gini', 'rfc__max_depth': 10, 'rfc__max_features': 1, 'rfc__min_samples_leaf': 70, 'rfc__n_estimators': 100, 'rfc__n_jobs': -1, 'rfc__random_state': 42, 'rfc__verbose': 1, 'rfc__warm_start': False};0.6290322580645161;0.7258064516129032;0.6724137931034483;0.6379310344827587;0.6507936507936508;0.6631914520083915;0.034540591305547035;251;0.7211155378486056;0.6862745098039216;0.7136929460580913;0.710204081632653;0.7016129032258065;0.7065799957138157;0.011933103639211757;0.5;0.5769230769230769;0.5;0.47435897435897434;0.5324675324675324;0.5167439703153989;0.03528737616733198;970;0.5819935691318328;0.5627009646302251;0.5530546623794212;0.5594855305466238;0.5576923076923077;0.5629854068760821;0.010002768209659842;0.5571428571428572;0.6428571428571428;0.5735294117647058;0.5441176470588236;0.5857142857142857;0.5806670360451873;0.03415774600092442;970;0.6441281138790036;0.6183745583038869;0.6231884057971016;0.6258992805755396;0.6214285714285714;0.6266037859968205;0.009096881353178892;0.9432753888380604;0.9542124542124543;0.9468864468864469;0.9432234432234432;0.9468377635197067;0.9468864468864469;0.004003549136917591;519;0.9542019693153194;0.9505494505494505;0.9523809523809523;0.9523809523809523;0.9514763103685053;0.952197926999036;0.0012100733327036256
0.2788842678070068;0.031088106931020803;0.48973798751831055;0.10816533381133721;{0: 1, 1: 2};gini;10;1;80;100;-1;42;1;False;{'rfc__class_weight': {0: 1, 1: 2}, 'rfc__criterion': 'gini', 'rfc__max_depth': 10, 'rfc__max_features': 1, 'rfc__min_samples_leaf': 80, 'rfc__n_estimators': 100, 'rfc__n_jobs': -1, 'rfc__random_state': 42, 'rfc__verbose': 1, 'rfc__warm_start': False};0.6271186440677966;0.7647058823529411;0.7254901960784313;0.6415094339622641;0.6612903225806451;0.6840166372592376;0.05252433980235773;139;0.7339055793991416;0.6929824561403509;0.7272727272727273;0.6852589641434262;0.7191489361702128;0.7117137326251717;0.019186235293104092;0.47435897435897434;0.5;0.47435897435897434;0.4358974358974359;0.5324675324675324;0.4834059408235232;0.031940652850147355;971;0.5498392282958199;0.5080385852090032;0.5144694533762058;0.5530546623794212;0.5416666666666666;0.5334137191854234;0.01858202234734041;0.5401459854014599;0.6046511627906976;0.5736434108527132;0.5190839694656488;0.5899280575539568;0.565481399617263;0.031601180716885766;971;0.6286764705882352;0.5862708719851578;0.6026365348399247;0.6120996441281138;0.6179159049360146;0.6095198852954893;0.014366768564398388;0.9423604757548033;0.9532967032967034;0.9496336996336996;0.9423076923076923;0.9477543538038496;0.947069597069597;0.004258915457473938;490;0.9537439890084727;0.9489468864468864;0.9516941391941391;0.950091575091575;0.9521629663538567;0.951327911218986;0.0016653334728037458
0.24016256332397462;0.05642921267667739;0.5104170322418213;0.11788193366507761;{0: 1, 1: 2};gini;10;1;90;100;-1;42;1;False;{'rfc__class_weight': {0: 1, 1: 2}, 'rfc__criterion': 'gini', 'rfc__max_depth': 10, 'rfc__max_features': 1, 'rfc__min_samples_leaf': 90, 'rfc__n_estimators': 100, 'rfc__n_jobs': -1, 'rfc__random_state': 42, 'rfc__verbose': 1, 'rfc__warm_start': False};0.6727272727272727;0.7777777777777778;0.72;0.6538461538461539;0.6612903225806451;0.697130400065884;0.046432611235593856;99;0.717948717948718;0.706140350877193;0.730593607305936;0.689795918367347;0.7112068965517241;0.7111370982101836;0.013456390470390002;0.47435897435897434;0.44871794871794873;0.46153846153846156;0.4358974358974359;0.5324675324675324;0.4705854280030104;0.033476654020374794;981;0.5401929260450161;0.5176848874598071;0.5144694533762058;0.5434083601286174;0.5288461538461539;0.5289203561711601;0.011593471826595442;0.556390977443609;0.5691056910569106;0.5625;0.523076923076923;0.5899280575539568;0.5601941875039154;0.02172645414206873;990;0.6165137614678899;0.5974025974025975;0.6037735849056604;0.6079136690647483;0.6066176470588235;0.6064442519799439;0.0062043251666565906;0.9460201280878316;0.9514652014652014;0.9487179487179487;0.9432234432234432;0.9477543538038496;0.9474358974358974;0.002747044845319036;433;0.9521410579345088;0.9503205128205128;0.9519230769230769;0.950091575091575;0.9510185397116044;0.9510989524962555;0.0008237000176626413
0.406528902053833;0.17164613795372805;0.5057276248931885;0.052950985331640985;{0: 1, 1: 2};gini;10;2;10;100;-1;42;1;False;{'rfc__class_weight': {0: 1, 1: 2}, 'rfc__criterion': 'gini', 'rfc__max_depth': 10, 'rfc__max_features': 2, 'rfc__min_samples_leaf': 10, 'rfc__n_estimators': 100, 'rfc__n_jobs': -1, 'rfc__random_state': 42, 'rfc__verbose': 1, 'rfc__warm_start': False};0.6714285714285714;0.7428571428571429;0.6712328767123288;0.7164179104477612;0.7123287671232876;0.702845562835486;0.02779308226425724;51;0.77;0.7807308970099668;0.8101694915254237;0.7702265372168284;0.7811447811447811;0.7824543413794001;0.014679540660062235;0.6025641025641025;0.6666666666666666;0.6282051282051282;0.6153846153846154;0.6753246753246753;0.6376157115168104;0.028555710074222442;330;0.7427652733118971;0.7556270096463023;0.7684887459807074;0.7652733118971061;0.7435897435897436;0.7551488168851513;0.01065506548752912;0.6351351351351351;0.7027027027027027;0.6490066225165563;0.6620689655172414;0.6933333333333332;0.6684386928303346;0.02577409315524978;199;0.7561374795417349;0.7679738562091504;0.7887788778877887;0.767741935483871;0.7619047619047619;0.7685073822054613;0.01103098529249516;0.9505946935041171;0.9597069597069597;0.9514652014652014;0.9551282051282052;0.9578368469294225;0.954945054945055;0.0035246684946293877;110;0.9658804671399129;0.9674908424908425;0.9706959706959707;0.967032967032967;0.9668116273746853;0.9675823749468757;0.0016428784336397835
