;0;1;micro avg;macro avg;weighted avg
f1-score;0.9697508896797153;0.6222222222222222;0.943986820428336;0.7959865559509688;0.9451318901728419
precision;0.9732142857142857;0.5957446808510638;0.943986820428336;0.7844794832826747;0.9464742642824595
recall;0.9663120567375887;0.6511627906976745;0.943986820428336;0.8087374237176316;0.943986820428336
support;564.0;43.0;607.0;607.0;607.0
