Model Name;Parameters;class_weight;Pipeline;Time;Train Accuracy Mean;Train F1 Mean;CV F1 Mean;CV F1 Std;CV Precision Mean;CV Recall Mean;CV Accuracy Mean
DecisionTreeClassifier;{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': False, 'random_state': 42, 'splitter': 'best'};balanced;"[('scaler', RobustScaler(copy=True, quantile_range=(2.5, 97.5), with_centering=True,
       with_scaling=True))]";0.04756708145141601;1.0;1.0;0.566031202268493;0.041351312173422736;0.5910581907794955;0.5451548451548451;0.9404793570376067
RandomForestClassifier;{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False};balanced;"[('scaler', RobustScaler(copy=True, quantile_range=(2.5, 97.5), with_centering=True,
       with_scaling=True))]";0.6212592124938965;0.9999542124542125;0.9996779388083736;0.6519236790755629;0.04568291354546837;0.79178013384465;0.5554778554778554;0.957877791212075
LogisticRegressionCV;{'Cs': 10, 'class_weight': 'balanced', 'cv': 'warn', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1.0, 'max_iter': 100, 'multi_class': 'warn', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'refit': True, 'scoring': None, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0};balanced;"[('scaler', RobustScaler(copy=True, quantile_range=(2.5, 97.5), with_centering=True,
       with_scaling=True))]";0.22461700439453125;0.8780220908072174;0.47396273975980596;0.47231945782631524;0.016309527369597124;0.341646720967988;0.7660339660339661;0.87802495551432
SVC;{'C': 1.0, 'cache_size': 200, 'class_weight': 'balanced', 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'auto_deprecated', 'kernel': 'rbf', 'max_iter': -1, 'probability': True, 'random_state': 42, 'shrinking': True, 'tol': 0.001, 'verbose': False};balanced;"[('scaler', RobustScaler(copy=True, quantile_range=(2.5, 97.5), with_centering=True,
       with_scaling=True))]";1.335396909713745;0.8689109769211563;0.4852981337293126;0.4810566210313816;0.027867820318322453;0.33424613989669616;0.8587079587079586;0.8675884100430187
XGBClassifier;{'base_score': 0.5, 'booster': 'gbtree', 'colsample_bylevel': 1, 'colsample_bynode': 1, 'colsample_bytree': 1, 'gamma': 0, 'learning_rate': 0.1, 'max_delta_step': 0, 'max_depth': 3, 'min_child_weight': 1, 'missing': None, 'n_estimators': 100, 'n_jobs': 1, 'nthread': None, 'objective': 'binary:logistic', 'random_state': 42, 'reg_alpha': 0, 'reg_lambda': 1, 'scale_pos_weight': 13, 'seed': None, 'silent': None, 'subsample': 1, 'verbosity': 1};13;"[('scaler', RobustScaler(copy=True, quantile_range=(2.5, 97.5), with_centering=True,
       with_scaling=True))]";0.27822122573852537;0.9419877128922222;0.7060096489065321;0.6259114531998025;0.04247870300162821;0.4915145358929302;0.8638361638361637;0.9258306900294115
