Model Name;Parameters;Time;Train Accuracy Mean;Train F1 Mean;Test F1 Mean;Test F1 Std;Test Precision Mean;Test Recall Mean;Test Accuracy Mean
DecisionTreeClassifier;{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': False, 'random_state': None, 'splitter': 'best'};0.04203996658325195;1.0;1.0;0.5775842095139009;0.043241465057922965;0.6064803791887126;0.5528138528138528;0.9421270387271431
RandomForestClassifier;{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False};0.5657010078430176;1.0;1.0;0.6428260628260628;0.053597511528588826;0.7871845746845747;0.5452547452547452;0.9571455259196515
LogisticRegressionCV;{'Cs': 10, 'class_weight': 'balanced', 'cv': 'warn', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1.0, 'max_iter': 100, 'multi_class': 'warn', 'n_jobs': None, 'penalty': 'l2', 'random_state': None, 'refit': True, 'scoring': None, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0};0.22895798683166504;0.8780220908072174;0.47396273975980596;0.47231945782631524;0.016309527369597124;0.341646720967988;0.7660339660339661;0.87802495551432
SVC;{'C': 1.0, 'cache_size': 200, 'class_weight': 'balanced', 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'auto_deprecated', 'kernel': 'rbf', 'max_iter': -1, 'probability': True, 'random_state': None, 'shrinking': True, 'tol': 0.001, 'verbose': False};1.3482685565948487;0.8689109769211563;0.4852981337293126;0.4810566210313816;0.027867820318322453;0.33424613989669616;0.8587079587079586;0.8675884100430187
XGBClassifier;{'base_score': 0.5, 'booster': 'gbtree', 'colsample_bylevel': 1, 'colsample_bynode': 1, 'colsample_bytree': 1, 'gamma': 0, 'learning_rate': 0.1, 'max_delta_step': 0, 'max_depth': 3, 'min_child_weight': 1, 'missing': None, 'n_estimators': 100, 'n_jobs': 1, 'nthread': None, 'objective': 'binary:logistic', 'random_state': 0, 'reg_alpha': 0, 'reg_lambda': 1, 'scale_pos_weight': 1, 'seed': None, 'silent': None, 'subsample': 1, 'verbosity': 1, 'class_weight': 'balanced'};0.2684433937072754;0.9745422288199341;0.8059036916396678;0.6492076670117176;0.043343699148650106;0.7321016108003532;0.5837495837495837;0.955131209037997
